task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
22,selected_2,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.5341118310002495,21.102476249706704,16.117560748855272,0.594762931524761,4.50782037053436,18.391567160685856,0.0874845297029703,-0.374119646671866,0.546875,24.809847079850925,0.7682291666666666,47.13948337519124,0.890625,72.09361850838773,6,19.441172409802675,fixed_epoch_budget_no_plateau_test
23,selected_2,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.7049697158649479,16.081368786203218,12.937866232991219,0.6465024267231508,4.216004908968792,18.815632591644924,0.08149546204620461,0.09430694957783729,0.6380208333333334,25.381902653039674,0.8697916666666666,48.22640680906911,0.9661458333333334,73.75592445192417,6,19.493591913953424,fixed_epoch_budget_no_plateau_test
24,selected_2,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.48039473800729493,23.947913290989877,21.74906660993894,0.6138990908510988,4.643937740585938,19.93751369913419,0.11804249174917493,-0.48153758773863214,0.19791666666666666,26.89529726891995,0.6822916666666666,51.101903788384675,0.9270833333333334,78.15361758315392,6,19.612597150728106,fixed_epoch_budget_no_plateau_test
25,selected_2,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.318179443538702,22.675293784909776,15.532818141182261,0.6376896372640642,4.8483495247891035,14.815561679502329,0.18484426567656764,-0.3356034468142823,0.5390625,19.985888992444334,0.6744791666666666,37.97381252957759,0.7994791666666666,58.07593460511263,6,19.259422575123608,fixed_epoch_budget_no_plateau_test
26,selected_2,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.6591933620157404,16.875419557643788,11.564489409923553,0.6299562784093687,4.268702255925305,15.259131260216236,0.039947400990099004,-0.16645417245939437,0.6067708333333334,20.58425526382494,0.8020833333333334,39.11072711076133,0.9192708333333334,59.81469541078622,6,19.62377476133406,fixed_epoch_budget_no_plateau_test
27,selected_2,split_006,lolo,SPhos,0,6,42,2688,384,42,0.878812938012384,9.715359799640783,7.861891344388326,0.7969047501319179,3.894155987377914,16.48434752722581,0.08640367161716171,0.06021752399036994,0.7786458333333334,22.23704689156787,0.9635416666666666,42.251082760995004,1.0,64.61745492400898,6,19.602850374765694,fixed_epoch_budget_no_plateau_test
28,selected_2,split_007,lolo,XPhos,0,7,42,2688,384,42,0.8801906504360415,9.350804313479284,7.036272430419923,0.7766270710820105,3.869937352304092,16.200150209168594,0.10337458745874586,0.06321314129734495,0.7760416666666666,21.85367053544225,0.9583333333333334,41.52265572523539,0.9921875,63.50342190821893,6,19.579302701167762,fixed_epoch_budget_no_plateau_test
29,selected_2,split_008,iid_matched,,0,0,42,2688,384,42,0.9156195740991291,8.844922330623426,6.12481430153052,0.8047274555301941,3.7923346760255146,14.796211625138918,0.10439047029702966,0.01971597266962802,0.8046875,19.959786165776617,0.9583333333333334,37.924216344651995,0.9921875,58.00008378581028,6,24.959279054775834,fixed_epoch_budget_no_plateau_test
30,selected_2,split_009,iid_matched,,0,1,42,2688,384,42,0.9341703759151445,7.576124170730164,5.535683672030767,0.8174925411601592,3.751694622632248,14.977953364451727,0.11427495874587457,-0.011911472991760198,0.8203125,20.204952046475213,0.9765625,38.390039165734244,1.0,58.71249831289183,6,19.77247889805585,fixed_epoch_budget_no_plateau_test
31,selected_2,split_010,iid_matched,,0,2,42,2688,384,42,0.9334095038500703,7.83558490934598,5.549587146441142,0.8172335496447308,3.752597633835302,14.861711546778679,0.11444616336633663,-0.016899011562849682,0.8307291666666666,20.04814421734595,0.9713541666666666,38.09209939889296,0.9947916666666666,58.25683876061854,6,19.754895952530205,fixed_epoch_budget_no_plateau_test
