task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,state,error
34,selected_5,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,completed,
35,selected_5,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,completed,
36,selected_5,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,completed,
37,selected_5,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,completed,
38,selected_5,split_016,kfold,,0,0,42.0,2457,615,42,completed,
39,selected_5,split_017,kfold,,0,1,42.0,2457,615,42,completed,
40,selected_5,split_018,kfold,,0,2,42.0,2458,614,42,completed,
41,selected_5,split_019,kfold,,0,3,42.0,2458,614,42,completed,
42,selected_5,split_020,kfold,,0,4,42.0,2458,614,42,completed,
43,selected_5,split_021,holdout,,0,0,42.0,2457,615,42,completed,
44,selected_2,split_000,lolo,AmPhos,0,0,,2688,384,42,completed,
45,selected_2,split_001,lolo,CataCXium A,0,1,,2688,384,42,completed,
46,selected_2,split_002,lolo,P(Cy)3,0,2,,2688,384,42,completed,
47,selected_2,split_003,lolo,P(Ph)3,0,3,,2688,384,42,completed,
48,selected_2,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,completed,
49,selected_2,split_005,lolo,P(tBu)3,0,5,,2688,384,42,completed,
50,selected_2,split_006,lolo,SPhos,0,6,,2688,384,42,completed,
51,selected_2,split_007,lolo,XPhos,0,7,,2688,384,42,completed,
52,selected_2,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,completed,
53,selected_2,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,completed,
54,selected_2,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,completed,
55,selected_2,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,completed,
56,selected_2,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,completed,
57,selected_2,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,completed,
58,selected_2,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,completed,
59,selected_2,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,completed,
60,selected_2,split_016,kfold,,0,0,42.0,2457,615,42,completed,
61,selected_2,split_017,kfold,,0,1,42.0,2457,615,42,completed,
62,selected_2,split_018,kfold,,0,2,42.0,2458,614,42,completed,
63,selected_2,split_019,kfold,,0,3,42.0,2458,614,42,completed,
64,selected_2,split_020,kfold,,0,4,42.0,2458,614,42,completed,
65,selected_2,split_021,holdout,,0,0,42.0,2457,615,42,completed,
66,pc_top,split_000,lolo,AmPhos,0,0,,2688,384,42,completed,
67,pc_top,split_001,lolo,CataCXium A,0,1,,2688,384,42,completed,
68,pc_top,split_002,lolo,P(Cy)3,0,2,,2688,384,42,completed,
69,pc_top,split_003,lolo,P(Ph)3,0,3,,2688,384,42,completed,
70,pc_top,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,completed,
71,pc_top,split_005,lolo,P(tBu)3,0,5,,2688,384,42,completed,
72,pc_top,split_006,lolo,SPhos,0,6,,2688,384,42,completed,
73,pc_top,split_007,lolo,XPhos,0,7,,2688,384,42,completed,
74,pc_top,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,completed,
75,pc_top,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,completed,
76,pc_top,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,completed,
77,pc_top,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,completed,
78,pc_top,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,completed,
79,pc_top,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,completed,
80,pc_top,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,completed,
81,pc_top,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,completed,
82,pc_top,split_016,kfold,,0,0,42.0,2457,615,42,completed,
83,pc_top,split_017,kfold,,0,1,42.0,2457,615,42,completed,
84,pc_top,split_018,kfold,,0,2,42.0,2458,614,42,completed,
85,pc_top,split_019,kfold,,0,3,42.0,2458,614,42,completed,
86,pc_top,split_020,kfold,,0,4,42.0,2458,614,42,completed,
87,pc_top,split_021,holdout,,0,0,42.0,2457,615,42,completed,
88,pc_scores,split_000,lolo,AmPhos,0,0,,2688,384,42,completed,
89,pc_scores,split_001,lolo,CataCXium A,0,1,,2688,384,42,completed,
90,pc_scores,split_002,lolo,P(Cy)3,0,2,,2688,384,42,completed,
91,pc_scores,split_003,lolo,P(Ph)3,0,3,,2688,384,42,completed,
92,pc_scores,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,completed,
93,pc_scores,split_005,lolo,P(tBu)3,0,5,,2688,384,42,completed,
94,pc_scores,split_006,lolo,SPhos,0,6,,2688,384,42,completed,
95,pc_scores,split_007,lolo,XPhos,0,7,,2688,384,42,completed,
96,pc_scores,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,completed,
97,pc_scores,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,completed,
98,pc_scores,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,completed,
99,pc_scores,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,completed,
100,pc_scores,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,completed,
101,pc_scores,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,completed,
102,pc_scores,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,completed,
103,pc_scores,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,completed,
104,pc_scores,split_016,kfold,,0,0,42.0,2457,615,42,completed,
105,pc_scores,split_017,kfold,,0,1,42.0,2457,615,42,completed,
106,pc_scores,split_018,kfold,,0,2,42.0,2458,614,42,completed,
107,pc_scores,split_019,kfold,,0,3,42.0,2458,614,42,completed,
108,pc_scores,split_020,kfold,,0,4,42.0,2458,614,42,completed,
109,pc_scores,split_021,holdout,,0,0,42.0,2457,615,42,completed,
