model,method,n_folds,device,run_time_sec,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nll_mean,nll_std,ece_mean,ece_std,cdf_ama_mean,cdf_ama_std,cvpp_ama_mean,cvpp_ama_std,Cv_mean,Cv_std,sharpness_mean,sharpness_std,RUSC_mean,RUSC_std,n,pooled_r2,pooled_rmse,pooled_mae
rxnpredict_full_ohe,kfold_5,5,cuda,97.444,0.9015841789356976,0.010115180202005266,8.534004867808155,0.24777041661425003,6.265602855447463,0.11624991879189037,3.893410346959924,0.004735152724139649,0.11627054361567637,0.002458449610099982,0.11903105262581097,0.0024614680946429073,0.2385292878213232,0.004957328656384726,0.10127260237932205,0.0035980359143159618,17.480597305297852,0.1495914804228784,0.12578796673430553,0.022570433535460815,3955,0.9021104994155614,8.537600907932068,6.265602855447465
rxnpredict_full_ohe,kfold_stratified_5,5,cuda,99.825,0.904204064423257,0.009660206045359963,8.42900942976913,0.3792833720444079,6.182966069140021,0.26051962717760696,3.8905315142102923,0.00766509989742091,0.11786346396965866,0.005506788373186638,0.12049652631212941,0.004935905223910566,0.2413948588284871,0.010552077485072543,0.10029144883155823,0.0019770237774194782,17.499262237548827,0.0943677038475037,0.12589475384031226,0.03590625088523663,3955,0.9043916225920111,8.437538494338636,6.182966069140021
rxnpredict_full_ohe,lolo,4,cuda,86.175,-0.2770521321861232,0.40265052947081964,27.92762542821009,2.0384456435438962,24.044964232570862,1.4289614673210047,4.794205136255771,0.10568373286974811,0.11557457363429546,0.06471172911910701,0.11670459911836488,0.06169010945845644,0.11929783396588131,0.02191956553337969,8.197186115666e-06,1.4014772814197783e-05,23.537932872772217,0.9223588102601046,,,3955,-0.05285103138579239,27.999563232226574,24.043350598622172
selected_2,iid_stratified_4,4,cuda,79.367,0.913287196865123,0.004242767243287859,8.030749763023103,0.24622103279385504,5.815974157600819,0.11823655835956778,3.758495539968673,0.0020127487368902745,0.10678802863891472,0.003439825934273917,0.10871077927984198,0.0033546592823877268,0.21749932455389856,0.006366677845081269,0.09823720902204514,0.002713407161216842,14.817813396453857,0.1639846011119083,0.024009908917795832,0.015533262324353272,3955,0.9133069742694907,8.034518845351533,5.815946815109316
selected_2,kfold_5,5,cuda,98.476,0.9138354645952335,0.009155481304437081,7.986155182267564,0.33052359712786894,5.791430933084025,0.13882330725203226,3.7603676842999065,0.011085892027430039,0.10724399494310999,0.0033822618627173664,0.11011109598590903,0.002339581533107744,0.2190771175726928,0.005154997195438314,0.09772026687860488,0.00357659901879148,14.860017585754395,0.1442192612108639,0.03728751788472638,0.039521846768487606,3955,0.914200814441887,7.9929919581792035,5.791430933084025
selected_2,kfold_stratified_5,5,cuda,101.469,0.9163175657656287,0.006987565420031456,7.883499322390887,0.33640995370550153,5.7284074562684895,0.1643350645273968,3.7566519382710597,0.007529201929417744,0.10881163084702908,0.0037828782218487984,0.11429927422900268,0.007471561245967247,0.22111672987779185,0.006635614772170115,0.09911842495203019,0.002200932082493992,14.85094337463379,0.09799058151167532,0.006101202228096949,0.051719827243843504,3955,0.9163833825850376,7.890673812995295,5.728407456268489
selected_2,lolo,4,cuda,88.881,0.3270826564025703,0.6842442894036469,16.333249606856185,7.185269932059535,13.578370835307037,6.855098916376058,4.215394371435384,0.39923104584197433,0.1185217892442495,0.04990088238808476,0.11553581003309993,0.046664794671853256,0.11916386602122395,0.0672682427358782,0.0460101443604799,0.04497710706481449,21.732040643692017,6.915732259896846,0.007267732476784382,0.1308798489314803,3955,0.5726415409511987,17.83873055306939,13.57346913252933
selected_5,iid_stratified_4,4,cuda,80.253,0.8962329350823609,0.003089751241331444,8.786422489259053,0.194473523780172,6.352241170136176,0.07790040100558426,3.832395656638801,0.001411516557135751,0.10425889235026588,0.0035211450272252067,0.10621095146994734,0.0033591377098841895,0.21027622163638077,0.005261075552828476,0.14467598497867584,0.007317136196235245,15.857931852340698,0.19954210704228384,0.01594046353839243,0.023644840242053614,3955,0.8962709530225428,8.788565366825681,6.352211563735612
selected_5,kfold_5,5,cuda,98.47,0.8957440315930416,0.011276214772379738,8.7839339498873,0.3678300868418661,6.328473077848306,0.11575919744188463,3.8325030663884467,0.012318483066570265,0.10352718078381795,0.0025990151755770252,0.10752698069080355,0.0056656548166914966,0.21212389380530974,0.005197401699882639,0.1496961623430252,0.007330687981779692,15.882089614868164,0.15254331355674247,0.05194430825885963,0.030532012688575468,3955,0.8961985492577452,8.791632078787693,6.328473077848306
selected_5,kfold_stratified_5,5,cuda,99.89,0.8988394251003052,0.007608352408461438,8.669243603081277,0.3357902556479839,6.270416733087039,0.1533442133594963,3.826911739067787,0.010703110247295264,0.10542351453855878,0.0029078216875828154,0.1111350384771441,0.006709002720749133,0.21418879056047196,0.0056861224786962546,0.14910627007484437,0.005994542742106502,15.868402481079102,0.09249882499638004,0.033290533045364494,0.03563280622198864,3955,0.8989170509312597,8.675744333793716,6.270416733087039
selected_5,lolo,4,cuda,82.873,0.1621819727537096,0.7690090716457274,18.701713788983326,8.788120041323987,15.59077259428519,8.089677298227683,4.33409302038131,0.4232849424565502,0.13059209321882193,0.04162460620861911,0.1297501961553165,0.04370261772918187,0.12978221733900838,0.05017215869880893,0.04115476517036143,0.041196280471151744,21.777577877044678,5.31357120929485,0.028663009875718307,0.12337338610322435,3955,0.42710418348178525,20.654068773301844,15.582862707022631
