task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
35,selected_5,split_014,iid_matched,,0,6,42,2688,384,42,0.8964786793562924,9.604614959588117,6.938226332863171,0.7652950936402755,3.960654346143919,18.129013873636723,0.11024339933993398,-0.1795594418636194,0.828125,24.455668077861066,0.9713541666666666,46.46653222307785,0.9921875,71.06442853510991,9,18.582002265378833,fixed_epoch_budget_no_plateau_test
36,selected_5,split_015,iid_matched,,0,7,42,2688,384,42,0.8958114733145326,9.820681068616247,7.031769248445829,0.7853781926912851,3.952147511296347,17.80327209333579,0.10826732673267327,-0.09667758807771862,0.8307291666666666,24.016249093813855,0.9713541666666666,45.63162244606195,0.9869791666666666,69.78754421981031,9,18.544225006364286,fixed_epoch_budget_no_plateau_test
37,selected_5,split_016,kfold,,0,0,42,2457,615,42,0.8955033526106052,9.657719503476264,6.935859591848482,0.7778743058192381,3.953698514902154,17.957690677797892,0.10973194880463655,-0.10039300494532084,0.832520325203252,24.22455659873281,0.967479674796748,46.02741320339513,0.9934959349593496,70.39285394798908,9,25.731654170900583,fixed_epoch_budget_no_plateau_test
38,selected_5,split_017,kfold,,0,1,42,2457,615,42,0.9115536189065422,9.02879019011246,6.640964788545437,0.7840436909515167,3.939868202862186,18.085415288103306,0.11480801738710454,-0.07369327756339615,0.8227642276422764,24.39685447973039,0.9804878048780488,46.35478455198608,0.991869918699187,70.89352522026513,9,19.262374844402075,fixed_epoch_budget_no_plateau_test
39,selected_5,split_018,kfold,,0,2,42,2458,614,42,0.8849514472571833,10.12610423955331,7.539652322899635,0.7681986190122444,3.957677092264345,17.65006682150527,0.09667171928919273,0.014014122393297626,0.7915309446254072,23.80957832276248,0.9625407166123778,45.23894153413378,0.99185667752443,69.18699058975135,9,19.201729147695005,fixed_epoch_budget_no_plateau_test
40,selected_5,split_019,kfold,,0,3,42,2458,614,42,0.9033040540268376,9.275225229322025,6.891900697888304,0.7802300027141327,3.9420203165113343,17.95971554808974,0.1100925597445738,-0.013943099583181644,0.8241042345276873,24.227288107247464,0.9674267100977199,46.03260315478021,0.998371335504886,70.40079129367984,9,19.078588847070932,fixed_epoch_budget_no_plateau_test
41,selected_5,split_020,kfold,,0,4,42,2458,614,42,0.9009088410844169,9.600530421122311,6.996759714754084,0.7748927892545505,3.9520835029224353,17.912134855500263,0.10799625890927857,-0.13194288470029997,0.8257328990228013,24.1631027283298,0.9641693811074918,45.91064893262473,0.99185667752443,70.21427840601015,9,19.343852637335658,fixed_epoch_budget_no_plateau_test
42,selected_2,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.877747438906237,11.049884325132297,7.894140175978343,0.7817134649982117,4.017296865106315,18.636671712001164,0.10146039603960398,0.08155560170899598,0.8098958333333334,25.140488095028093,0.9557291666666666,47.76771161811172,0.9869791666666666,73.05441069443742,6,24.522822853177786,fixed_epoch_budget_no_plateau_test
43,selected_2,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.7142489827087874,16.526712487167867,11.836759453217189,0.6687428182858152,4.2350346752239565,18.6325497875611,0.06816728547854785,0.020617730833135534,0.6536458333333334,25.13492770345628,0.828125,47.757146700673275,0.9427083333333334,73.03825304753838,6,18.23689502850175,fixed_epoch_budget_no_plateau_test
44,selected_2,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.5483965981637609,19.89611649378884,14.5356731402874,0.5961552869429985,4.41076609372655,20.96718469262123,0.09475556930693067,0.039490227923891445,0.6223958333333334,28.284302331282408,0.828125,53.74105673578304,0.9427083333333334,82.18985370947428,6,18.251638895832002,fixed_epoch_budget_no_plateau_test
45,selected_2,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.4364965569633239,24.93900910322679,18.618700936834017,0.5292533677350767,4.638972818905634,24.30238415300846,0.12159653465346536,-0.08485237471031296,0.5651041666666666,32.78341803306378,0.8203125,62.28951691550856,0.9166666666666666,95.26359535670706,6,18.254450360313058,fixed_epoch_budget_no_plateau_test
46,selected_2,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.27737218753015136,23.34399671816705,15.705550589760145,0.5779857086754988,4.663299578615857,17.699926510453224,0.15129950495049502,0.005945034078193347,0.5807291666666666,23.8768380210492,0.7864583333333334,45.3667370589914,0.8671875,69.38243697898808,6,18.246144987642765,fixed_epoch_budget_no_plateau_test
47,selected_2,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.6271369408446008,17.651240641575203,12.120764357844989,0.6093389834876571,4.304279792833824,19.92508572836717,0.059894801980198024,-0.1565146993998169,0.6848958333333334,26.87853219112377,0.859375,51.07004961759864,0.9635416666666666,78.10490083294538,6,18.130981685593724,fixed_epoch_budget_no_plateau_test
48,selected_2,split_006,lolo,SPhos,0,6,42,2688,384,42,0.8465718797023847,10.931587686203201,8.021283856034279,0.7748191275131556,4.053729420113556,19.676669066150982,0.1275752887788779,-0.026665126648808112,0.8229166666666666,26.543423206238288,0.9609375,50.4333320928576,0.9947916666666666,77.13112541073862,6,18.171357952058315,fixed_epoch_budget_no_plateau_test
49,selected_2,split_007,lolo,XPhos,0,7,42,2688,384,42,0.8473447348474711,10.555030856396758,7.845464008053145,0.7533438989308432,4.0560575643419625,20.03902235130469,0.13008972772277225,0.009372138957648097,0.8203125,27.0322303598104,0.9739583333333334,51.36208093259554,0.9973958333333334,78.55152418790068,6,18.21711858548224,fixed_epoch_budget_no_plateau_test
50,selected_2,split_008,iid_matched,,0,0,42,2688,384,42,0.8625822614365534,11.287416892247785,8.03143527507782,0.7526384551130799,4.0252782214421305,18.462400287389755,0.09722256600660063,-0.025624131090841273,0.796875,24.905399515723165,0.9505208333333334,47.32103598403085,0.9895833333333334,72.37127926289173,6,24.843430642038584,fixed_epoch_budget_no_plateau_test
51,selected_2,split_009,iid_matched,,0,1,42,2688,384,42,0.8977275618798422,9.443124187865266,7.0545453594128285,0.7760120265859942,3.979003445615454,18.812874168157578,0.11311468646864684,-0.051666398223186735,0.8411458333333334,25.378181596301847,0.9817708333333334,48.21933668519183,1.0,73.74511163054557,6,18.5054070064798,fixed_epoch_budget_no_plateau_test
52,selected_2,split_010,iid_matched,,0,2,42,2688,384,42,0.8981414506941616,9.690898369710094,7.081248217821121,0.7741224807441484,3.9746082946030015,18.480458612243336,0.11007116336633661,-0.03777444813671968,0.8307291666666666,24.929759825762066,0.9765625,47.36732133300527,0.9947916666666666,72.44206659556001,6,18.51152770034969,fixed_epoch_budget_no_plateau_test
53,selected_2,split_011,iid_matched,,0,3,42,2688,384,42,0.8724042018160714,10.692683512094591,7.900202872554462,0.7450191093096858,4.002789556621452,18.509664177894592,0.09751547029702967,0.0029744244006646094,0.78125,24.96915753512297,0.9583333333333334,47.44217820977124,0.9973958333333334,72.55655030920917,6,18.51462865807116,fixed_epoch_budget_no_plateau_test
54,selected_2,split_012,iid_matched,,0,4,42,2688,384,42,0.8688322595470002,10.761755171323342,7.967889250914257,0.7602423505399738,4.00654685049848,18.49425070484479,0.0963809818481848,-0.016705732257298836,0.7942708333333334,24.948365075948942,0.9635416666666666,47.40267188873634,0.9921875,72.49613060510062,6,18.527527765370905,fixed_epoch_budget_no_plateau_test
